Custo Calculado,  R$ 10831654.833377006 
Fabrica, Produto, Quantidade(TON),Centro de Distribuição 
Fabrica_Sidrolandia-MS,Familia_AVES PEITO,687.185999999999,CentroDistribuição_Confresa - MT 
Fabrica_Sidrolandia-MS,Familia_AVES FILE,107.4,CentroDistribuição_Confresa - MT 
Fabrica_Sidrolandia-MS,Familia_AVES PEITO,1650.18,CentroDistribuição_Pedra Preta - MT 
Fabrica_Sidrolandia-MS,Familia_AVES ASA,10.31100000000015,CentroDistribuição_Pedra Preta - MT 
Fabrica_Sidrolandia-MS,Familia_AVES FILE,161.25,CentroDistribuição_Pedra Preta - MT 
Fabrica_Sidrolandia-MS,Familia_AVES SEPARADO,174.4072,CentroDistribuição_Pimenta Bueno - RO 
Fabrica_Sidrolandia-MS,Familia_AVES PEITO,109.83,CentroDistribuição_Porto Velho RO 
Fabrica_Sidrolandia-MS,Familia_AVES COXA,3808.62,CentroDistribuição_São Miguel do Guaporé - RO 
Fabrica_Sidrolandia-MS,Familia_AVES SEPARADO,3091.2428,CentroDistribuição_São Miguel do Guaporé - RO 
Fabrica_Sidrolandia-MS,Familia_AVES PEITO,2697.579,CentroDistribuição_São Miguel do Guaporé - RO 
Fabrica_Sidrolandia-MS,Familia_AVES ASA,1496.379,CentroDistribuição_São Miguel do Guaporé - RO 
Fabrica_Sidrolandia-MS,Familia_AVES FILE,328.56492,CentroDistribuição_São Miguel do Guaporé - RO 
Fabrica_Sidrolandia-MS,Familia_AVES PEITO,665.52,CentroDistribuição_Juara - MT 
Fabrica_Sidrolandia-MS,Familia_AVES PEITO,756.81,CentroDistribuição_Vilhena - RO 
Fabrica_Sidrolandia-MS,Familia_AVES FILE,50.19,CentroDistribuição_Vilhena - RO 
